13362|177453060|Агенция за качеството на социалните услуги|1100021|1000067|68134|ул. Лъчезар Станчев №20|9701111; 9701121; ||aksu@aksu.government.bg||1900-01-01||t|2|-1|2020-09-18 00:08:11.45|-1|2023-04-16 00:04:33.714||0000001601
13310|111111113|Пробен участник|1100021|1000067|68134|София 1|||||2018-04-01|2019-04-15|f|12|-1|2019-11-14 16:48:21.021||||
13364|N/A|Военно-географска служба|||||||||1900-01-01||t|2|-1|2020-12-01 00:06:50.733||||0000001603
13374|129011049|Бюро по защита на застрашени лица|1100021|1000067|68134|ул. "Подполковник Калитин" №21|8101412; ||bzzl@justice.government.bg||1900-01-01||t|2|-1|2022-05-28 00:06:37.248|-1|2023-04-16 00:04:34.072||0000001614
13375|180742160|Изпълнителна агенция "Инфраструктура на електронното управление'|1100021|1000067|68134|гр. София, ул. Ген. Йосиф В. Гурко № 6|(02)949 2040; ||mail@e-gov.bg||1900-01-01||t|5|-1|2022-06-03 00:06:37.904|-1|2023-04-16 00:04:34.95||0000001615
12658|177057545|Изпълнителна агенция "Сертификационен одит на средствата от европейските земеделски фондове'|1100021|1000067|68134|бул. Витоша №15|9434383; ||ia@caaf.bg||2018-08-01||t|5|-1|2018-08-10 12:42:54.029|-1|2023-04-16 00:04:35.172||0000001522
12669|175584171|Комисия за публичен надзор над регистрираните одитори|1100021|1000067|68134|гр.София, ул. Сердика № 22, ет.7|02/983 55 39; факс 02/983 13 85; ||office@cposa.bg||2018-08-01||t|2|-1|2018-08-10 12:42:54.112|-1|2023-04-16 00:04:35.364||0000001168
13378|N/A|Консултативен съвет за сътрудничество между държавните органи и лицата, осъществяващи икономически дейности, свързани с нефт и продукти от нефтен произход|||||||||1900-01-01||t|13|-1|2022-12-17 00:04:23.627|-1|2023-04-16 00:04:35.591||0000001619
12690|N/A|Междуведомствен съвет по въпросите на граничния контрол|||||||||2018-08-01||t|13|-1|2018-08-10 12:42:54.262|-1|2023-04-16 00:04:35.752||0000000563
13369|180680495|Министерство на електронното управление|1100021|1000067|68134|ул. "Ген. Гурко" №6|949 2040; ||mail@egov.government.bg||1900-01-01||t|7|-1|2021-12-22 00:06:23.692|-1|2023-04-16 00:04:35.89||0000001609
13370|177549112|Министерство на иновациите и растежа|1100021|1000067|68134|ул. Княз Александър I № 12.|940 76 04; |987 21 90; (02) 981 99 70|docs@mig.government.bg||1900-01-01||t|7|-1|2021-12-22 00:06:23.771|-1|2023-04-16 00:04:35.976||0000001610
13372|N/A|Национален съвет за насърчаване на заетостта|||||||||1900-01-01||t|13|-1|2022-05-12 00:06:42.488|-1|2023-04-16 00:04:36.527||0000001612
13346|N/A|Национален съвет по превенция СПИН, туберкулоза и сексуално предавани инфекции към Министерството на здравеопазването|||||||||1900-01-01||t|13|-1|2019-07-23 15:47:44.983|-1|2023-04-16 00:04:36.793||0000001581
13376|N/A|Национален съвет по психично здраве|||||||||1900-01-01||t|13|-1|2022-07-19 00:06:28.536|-1|2023-04-16 00:04:36.811||0000001616
13373|N/A|Национален съвет по условията на труд|||||||||1900-01-01||t|13|-1|2022-05-12 00:06:42.849|-1|2023-04-16 00:04:36.865||0000001613
13131|000356256|Регионална дирекция по горите - Пазарджик|1100010|1000015|55155|гр. Пазарджик, бул. "Ал. Стамболийски" № 50|034/448395; |448396|rugpazrdjik@iag.bg||2018-08-01||t|10|-1|2018-08-10 12:42:57.868|-1|2023-04-16 00:04:46.332||0000001277
12649|121486802|Изпълнителна агенция по горите|1100021|1000067|68134|гр. София,община "Красно село", бул. "Христо Ботев" № 55|98511512; ||iag@iag.bg||2018-08-01||t|5|-1|2018-08-10 12:42:53.971|-1|2023-04-16 00:04:35.018||0000001244
12661|129010545|Информационен център на Министерството на отбраната|1100021|1000067|68134|ул."Г. С. Раковски" 106|0882464344; 953 12 07; ||infocenter@armymedia.bg||2018-08-01||t|1|-1|2018-08-10 12:42:54.048|-1|2023-04-16 00:04:35.224||0000001445
12683|N/A|Консултативен съвет по въпросите на военноинвалидите и военнопострадалите|||||||||2018-08-01||t|13|-1|2018-08-10 12:42:54.214|-1|2023-04-16 00:04:35.609||0000001045
12700|000695235|Министерство на вътрешните работи|1100021|1000067|68134|ул. „6-и септември“ 29|9825 000; ||press@mvr.bg||2018-08-01||t|7|-1|2018-08-10 12:42:54.331|-1|2023-04-16 00:04:35.873||0000000078
12715|000695406|Министерство на финансите|1100021|1000067|68134|ул. Г. С. Раковски № 102|98591; ||feedback@minfin.bg||2018-08-01||t|7|-1|2018-08-10 12:42:54.438|-1|2023-04-16 00:04:36.167||0000000088
